======================================================================
ASTRAM AI - Training from Raw CSV Data
======================================================================

[1/7] Loading raw CSV data...
  Loaded: 8,173 records, 46 columns
  Total nulls: 169,875

[2/7] Parsing datetime and extracting temporal features...
  After datetime filtering: 8,057 records

[3/7] Data cleaning...
  Kannada text detected: 859 reports (10.7%)

[4/7] Feature engineering...
  Total features engineered: 30

[5/7] Creating impact score target...
  Impact score range: 0.0 - 100.0
  Impact score mean: 33.2 ± 17.8

[6/7] Preparing training data...
  Features: 31
  Samples: 8,057
  Train: 6,445 | Test: 1,612

[7/7] Training CatBoost model...
0:	learn: 17.2104565	test: 16.8609304	best: 16.8609304 (0)	total: 138ms	remaining: 3m 26s
160:	learn: 5.0085248	test: 5.1536060	best: 5.1536060 (160)	total: 631ms	remaining: 5.25s
161:	learn: 5.0065813	test: 5.1533393	best: 5.1533393 (161)	total: 634ms	remaining: 5.24s
162:	learn: 5.0045980	test: 5.1526705	best: 5.1526705 (162)	total: 637ms	remaining: 5.23s
163:	learn: 5.0030589	test: 5.1524425	best: 5.1524425 (163)	total: 641ms	remaining: 5.22s
164:	learn: 5.0018511	test: 5.1520122	best: 5.1520122 (164)	total: 645ms	remaining: 5.22s
165:	learn: 4.9985824	test: 5.1499868	best: 5.1499868 (165)	total: 648ms	remaining: 5.21s
166:	learn: 4.9958008	test: 5.1481133	best: 5.1481133 (166)	total: 652ms	remaining: 5.2s
167:	learn: 4.9923767	test: 5.1457655	best: 5.1457655 (167)	total: 654ms	remaining: 5.19s
168:	learn: 4.9914232	test: 5.1451111	best: 5.1451111 (168)	total: 657ms	remaining: 5.18s
169:	learn: 4.9902340	test: 5.1448731	best: 5.1448731 (169)	total: 661ms	remaining: 5.17s
170:	learn: 4.9895028	test: 5.1443777	best: 5.1443777 (170)	total: 664ms	remaining: 5.16s
171:	learn: 4.9871114	test: 5.1435373	best: 5.1435373 (171)	total: 668ms	remaining: 5.16s
172:	learn: 4.9849326	test: 5.1436443	best: 5.1435373 (171)	total: 671ms	remaining: 5.15s
173:	learn: 4.9844845	test: 5.1433727	best: 5.1433727 (173)	total: 675ms	remaining: 5.14s
174:	learn: 4.9832579	test: 5.1430571	best: 5.1430571 (174)	total: 678ms	remaining: 5.13s
175:	learn: 4.9823195	test: 5.1426865	best: 5.1426865 (175)	total: 680ms	remaining: 5.12s
176:	learn: 4.9805895	test: 5.1427870	best: 5.1426865 (175)	total: 683ms	remaining: 5.11s
177:	learn: 4.9776483	test: 5.1405263	best: 5.1405263 (177)	total: 686ms	remaining: 5.09s
178:	learn: 4.9764225	test: 5.1404920	best: 5.1404920 (178)	total: 689ms	remaining: 5.08s
179:	learn: 4.9740910	test: 5.1395158	best: 5.1395158 (179)	total: 692ms	remaining: 5.08s
180:	learn: 4.9713379	test: 5.1391938	best: 5.1391938 (180)	total: 695ms	remaining: 5.07s
181:	learn: 4.9699748	test: 5.1398471	best: 5.1391938 (180)	total: 698ms	remaining: 5.05s
182:	learn: 4.9682156	test: 5.1389158	best: 5.1389158 (182)	total: 701ms	remaining: 5.04s
183:	learn: 4.9667626	test: 5.1386105	best: 5.1386105 (183)	total: 704ms	remaining: 5.03s
184:	learn: 4.9643897	test: 5.1383280	best: 5.1383280 (184)	total: 708ms	remaining: 5.03s
185:	learn: 4.9634856	test: 5.1381171	best: 5.1381171 (185)	total: 712ms	remaining: 5.03s
186:	learn: 4.9622175	test: 5.1371686	best: 5.1371686 (186)	total: 717ms	remaining: 5.03s
187:	learn: 4.9598101	test: 5.1371637	best: 5.1371637 (187)	total: 722ms	remaining: 5.04s
188:	learn: 4.9578833	test: 5.1369960	best: 5.1369960 (188)	total: 725ms	remaining: 5.03s
189:	learn: 4.9556681	test: 5.1358660	best: 5.1358660 (189)	total: 729ms	remaining: 5.02s
190:	learn: 4.9539709	test: 5.1353765	best: 5.1353765 (190)	total: 732ms	remaining: 5.02s
191:	learn: 4.9521666	test: 5.1344155	best: 5.1344155 (191)	total: 736ms	remaining: 5.01s
192:	learn: 4.9507800	test: 5.1344234	best: 5.1344155 (191)	total: 739ms	remaining: 5.01s
193:	learn: 4.9482858	test: 5.1344918	best: 5.1344155 (191)	total: 743ms	remaining: 5s
194:	learn: 4.9461772	test: 5.1333190	best: 5.1333190 (194)	total: 746ms	remaining: 4.99s
195:	learn: 4.9451992	test: 5.1335074	best: 5.1333190 (194)	total: 750ms	remaining: 4.99s
196:	learn: 4.9425182	test: 5.1338038	best: 5.1333190 (194)	total: 754ms	remaining: 4.99s
197:	learn: 4.9408163	test: 5.1325280	best: 5.1325280 (197)	total: 757ms	remaining: 4.98s
198:	learn: 4.9391955	test: 5.1325389	best: 5.1325280 (197)	total: 761ms	remaining: 4.97s
199:	learn: 4.9383239	test: 5.1322168	best: 5.1322168 (199)	total: 764ms	remaining: 4.97s
200:	learn: 4.9372399	test: 5.1325715	best: 5.1322168 (199)	total: 768ms	remaining: 4.96s
201:	learn: 4.9362455	test: 5.1325938	best: 5.1322168 (199)	total: 771ms	remaining: 4.95s
202:	learn: 4.9335040	test: 5.1318390	best: 5.1318390 (202)	total: 774ms	remaining: 4.94s
203:	learn: 4.9315759	test: 5.1302434	best: 5.1302434 (203)	total: 777ms	remaining: 4.93s
204:	learn: 4.9308707	test: 5.1300800	best: 5.1300800 (204)	total: 780ms	remaining: 4.93s
205:	learn: 4.9294391	test: 5.1300984	best: 5.1300800 (204)	total: 784ms	remaining: 4.92s
206:	learn: 4.9279908	test: 5.1292529	best: 5.1292529 (206)	total: 787ms	remaining: 4.91s
207:	learn: 4.9273510	test: 5.1290128	best: 5.1290128 (207)	total: 790ms	remaining: 4.9s
208:	learn: 4.9258819	test: 5.1290210	best: 5.1290128 (207)	total: 793ms	remaining: 4.89s
209:	learn: 4.9246996	test: 5.1289524	best: 5.1289524 (209)	total: 795ms	remaining: 4.88s
210:	learn: 4.9232167	test: 5.1287592	best: 5.1287592 (210)	total: 799ms	remaining: 4.88s
211:	learn: 4.9223742	test: 5.1288866	best: 5.1287592 (210)	total: 802ms	remaining: 4.87s
212:	learn: 4.9215375	test: 5.1283684	best: 5.1283684 (212)	total: 806ms	remaining: 4.87s
213:	learn: 4.9202643	test: 5.1278147	best: 5.1278147 (213)	total: 809ms	remaining: 4.86s
214:	learn: 4.9190380	test: 5.1275744	best: 5.1275744 (214)	total: 812ms	remaining: 4.85s
215:	learn: 4.9185687	test: 5.1278377	best: 5.1275744 (214)	total: 815ms	remaining: 4.85s
216:	learn: 4.9162958	test: 5.1262890	best: 5.1262890 (216)	total: 818ms	remaining: 4.84s
217:	learn: 4.9155108	test: 5.1263786	best: 5.1262890 (216)	total: 822ms	remaining: 4.83s
218:	learn: 4.9150022	test: 5.1258826	best: 5.1258826 (218)	total: 825ms	remaining: 4.82s
219:	learn: 4.9132070	test: 5.1250359	best: 5.1250359 (219)	total: 828ms	remaining: 4.82s
220:	learn: 4.9122204	test: 5.1251782	best: 5.1250359 (219)	total: 831ms	remaining: 4.81s
221:	learn: 4.9107097	test: 5.1253777	best: 5.1250359 (219)	total: 834ms	remaining: 4.8s
222:	learn: 4.9100420	test: 5.1252602	best: 5.1250359 (219)	total: 837ms	remaining: 4.79s
223:	learn: 4.9091327	test: 5.1255619	best: 5.1250359 (219)	total: 840ms	remaining: 4.78s
224:	learn: 4.9083114	test: 5.1253422	best: 5.1250359 (219)	total: 843ms	remaining: 4.77s
225:	learn: 4.9078516	test: 5.1256813	best: 5.1250359 (219)	total: 846ms	remaining: 4.77s
226:	learn: 4.9071935	test: 5.1257469	best: 5.1250359 (219)	total: 849ms	remaining: 4.76s
227:	learn: 4.9067970	test: 5.1259636	best: 5.1250359 (219)	total: 852ms	remaining: 4.75s
228:	learn: 4.9054675	test: 5.1255149	best: 5.1250359 (219)	total: 856ms	remaining: 4.75s
229:	learn: 4.9036621	test: 5.1244834	best: 5.1244834 (229)	total: 859ms	remaining: 4.74s
230:	learn: 4.9019581	test: 5.1246378	best: 5.1244834 (229)	total: 862ms	remaining: 4.74s
231:	learn: 4.9011614	test: 5.1250322	best: 5.1244834 (229)	total: 865ms	remaining: 4.73s
232:	learn: 4.9005839	test: 5.1252022	best: 5.1244834 (229)	total: 868ms	remaining: 4.72s
233:	learn: 4.8978513	test: 5.1258312	best: 5.1244834 (229)	total: 871ms	remaining: 4.71s
234:	learn: 4.8952220	test: 5.1246697	best: 5.1244834 (229)	total: 874ms	remaining: 4.7s
235:	learn: 4.8930082	test: 5.1252357	best: 5.1244834 (229)	total: 877ms	remaining: 4.7s
236:	learn: 4.8911988	test: 5.1253347	best: 5.1244834 (229)	total: 881ms	remaining: 4.69s
237:	learn: 4.8895639	test: 5.1258641	best: 5.1244834 (229)	total: 884ms	remaining: 4.69s
238:	learn: 4.8892504	test: 5.1256645	best: 5.1244834 (229)	total: 887ms	remaining: 4.68s
239:	learn: 4.8890489	test: 5.1255676	best: 5.1244834 (229)	total: 890ms	remaining: 4.67s
240:	learn: 4.8866368	test: 5.1243562	best: 5.1243562 (240)	total: 894ms	remaining: 4.67s
241:	learn: 4.8845621	test: 5.1240533	best: 5.1240533 (241)	total: 898ms	remaining: 4.67s
242:	learn: 4.8843773	test: 5.1242184	best: 5.1240533 (241)	total: 900ms	remaining: 4.66s
243:	learn: 4.8822702	test: 5.1239220	best: 5.1239220 (243)	total: 904ms	remaining: 4.65s
244:	learn: 4.8817495	test: 5.1241811	best: 5.1239220 (243)	total: 907ms	remaining: 4.65s
245:	learn: 4.8798687	test: 5.1238419	best: 5.1238419 (245)	total: 911ms	remaining: 4.64s
246:	learn: 4.8787075	test: 5.1237571	best: 5.1237571 (246)	total: 914ms	remaining: 4.63s
247:	learn: 4.8769876	test: 5.1239122	best: 5.1237571 (246)	total: 917ms	remaining: 4.63s
248:	learn: 4.8763356	test: 5.1243223	best: 5.1237571 (246)	total: 919ms	remaining: 4.62s
249:	learn: 4.8752766	test: 5.1234798	best: 5.1234798 (249)	total: 923ms	remaining: 4.61s
250:	learn: 4.8741786	test: 5.1235278	best: 5.1234798 (249)	total: 926ms	remaining: 4.61s
251:	learn: 4.8738639	test: 5.1236023	best: 5.1234798 (249)	total: 929ms	remaining: 4.6s
252:	learn: 4.8722916	test: 5.1239459	best: 5.1234798 (249)	total: 932ms	remaining: 4.59s
253:	learn: 4.8705782	test: 5.1230026	best: 5.1230026 (253)	total: 935ms	remaining: 4.59s
254:	learn: 4.8685584	test: 5.1228963	best: 5.1228963 (254)	total: 939ms	remaining: 4.58s
255:	learn: 4.8667475	test: 5.1227249	best: 5.1227249 (255)	total: 943ms	remaining: 4.58s
256:	learn: 4.8647533	test: 5.1231906	best: 5.1227249 (255)	total: 947ms	remaining: 4.58s
